"state","t","pebt","est_beneficiaries","application"
"New Mexico",3,"0",245000,"none"
"New York",3,"2",2077711,"none"
"New York",3,"0",2077711,"none"
"North Carolina",3,"0",903320,"none"
"North Dakota",3,"3",39760,"all_but_snap"
"North Dakota",3,"0",39760,"all_but_snap"
"Ohio",3,"1",850000,"none"
"Ohio",3,"0",850000,"none"
"Oklahoma",3,"0",312021,"none"
"Oregon",3,"0",351000,"none"
"Pennsylvania",3,"1",991843,"none"
"Pennsylvania",3,"0",991843,"none"
"Rhode Island",3,"0",74622,"none"
"South Carolina",3,"0",467000,"none"
"South Dakota",3,"0",62000,"all_but_snap"
"Tennessee",3,"0",615610,"all_but_snap"
"Texas",3,"1",3641635,"all_but_snap"
"Texas",3,"0",3641635,"all_but_snap"
"Utah",3,"0",75000,"all_but_snap"
"Vermont",3,"1",39000,"none"
"Vermont",3,"0",39000,"none"
"Virginia",3,"0",594494,"none"
"Washington",3,"0",560267,"all_but_snap"
"West Virginia",3,"1",204542,"none"
"West Virginia",3,"0",204542,"none"
"Wisconsin",3,"2",438000,"all_but_snap"
"Wisconsin",3,"0",438000,"all_but_snap"
"Wyoming",3,"0",36271,"all"
"Alabama",4,"0",461000,"none"
"Alaska",4,"0",73000,"all_but_snap"
"Arizona",4,"0",703000,"none"
"Arkansas",4,"0",303120,"none"
"California",4,"0",3927173,"all_but_snap"
"Colorado",4,"0",356099,"all_but_snap"
"Connecticut",4,"0",289407,"none"
"Delaware",4,"0",61602,"none"
"District of Columbia",4,"0",86415,"none"
"District of Columbia",4,"1",86415,"none"
"Florida",4,"0",2065374,"none"
"Georgia",4,"0",1100000,"all_but_snap"
"Hawaii",4,"0",93297,"none"
"Idaho",4,"0",130000,"none"
"Illinois",4,"3",1099786,"all_but_snap"
"Illinois",4,"0",1099786,"all_but_snap"
"Indiana",4,"0",588127,"none"
"Iowa",4,"0",249404,"none"
"Kansas",4,"0",169795,"all_but_snap"
"Kansas",4,"1",169795,"all_but_snap"
"Kentucky",4,"0",601551,"all_but_snap"
"Louisiana",4,"1",732204,"all"
"Louisiana",4,"0",732204,"all"
"Maine",4,"0",84000,"all_but_snap"
"Maryland",4,"1",430954,"none"
"Maryland",4,"0",430954,"none"
"Massachusetts",4,"2",522000,"none"
"Massachusetts",4,"1",522000,"none"
"Massachusetts",4,"0",522000,"none"
"Michigan",4,"0",829722,"none"
"Minnesota",4,"0",349952,"all_but_snap"
"Minnesota",4,"1",349952,"all_but_snap"
"Mississippi",4,"1",345827,"none"
"Mississippi",4,"0",345827,"none"
"Missouri",4,"0",454690,"all_but_snap"
"Montana",4,"0",48385,"none"
"Nebraska",4,"0",156257,"all_but_snap"
"Nevada",4,"0",334000,"none"
"New Hampshire",4,"0",45190,"all_but_snap"
"New Jersey",4,"0",594207,"none"
"New Mexico",4,"0",245000,"none"
"New Mexico",4,"1",245000,"none"
"New York",4,"0",2077711,"none"
"North Carolina",4,"0",903320,"none"
"North Carolina",4,"1",903320,"none"
"North Dakota",4,"0",39760,"all_but_snap"
"Ohio",4,"0",850000,"none"
"Oklahoma",4,"0",312021,"none"
"Oregon",4,"1",351000,"none"
"Oregon",4,"0",351000,"none"
"Pennsylvania",4,"0",991843,"none"
"Rhode Island",4,"3",74622,"none"
"Rhode Island",4,"0",74622,"none"
"South Carolina",4,"0",467000,"none"
"South Dakota",4,"0",62000,"all_but_snap"
"Tennessee",4,"1",615610,"all_but_snap"
"Tennessee",4,"0",615610,"all_but_snap"
"Texas",4,"0",3641635,"all_but_snap"
"Utah",4,"0",75000,"all_but_snap"
"Vermont",4,"0",39000,"none"
"Virginia",4,"0",594494,"none"
"Virginia",4,"1",594494,"none"
"Washington",4,"0",560267,"all_but_snap"
"West Virginia",4,"0",204542,"none"
"Wisconsin",4,"0",438000,"all_but_snap"
"Wyoming",4,"1",36271,"all"
"Wyoming",4,"0",36271,"all"
"Alabama",5,"0",461000,"none"
"Alaska",5,"0",73000,"all_but_snap"
"Arizona",5,"0",703000,"none"
"Arkansas",5,"1",303120,"none"
"Arkansas",5,"0",303120,"none"
"California",5,"0",3927173,"all_but_snap"
"Colorado",5,"0",356099,"all_but_snap"
"Connecticut",5,"0",289407,"none"
"Connecticut",5,"1",289407,"none"
"Delaware",5,"3",61602,"none"
"Delaware",5,"2",61602,"none"
"Delaware",5,"0",61602,"none"
"District of Columbia",5,"0",86415,"none"
"Florida",5,"1",2065374,"none"
"Florida",5,"0",2065374,"none"
"Georgia",5,"0",1100000,"all_but_snap"
"Hawaii",5,"1",93297,"none"
"Hawaii",5,"0",93297,"none"
"Idaho",5,"0",130000,"none"
"Illinois",5,"0",1099786,"all_but_snap"
"Indiana",5,"0",588127,"none"
"Iowa",5,"0",249404,"none"
"Kansas",5,"0",169795,"all_but_snap"
"Kentucky",5,"0",601551,"all_but_snap"
"Louisiana",5,"2",732204,"all"
"Louisiana",5,"0",732204,"all"
"Louisiana",5,"3",732204,"all"
"Maine",5,"0",84000,"all_but_snap"
"Maryland",5,"0",430954,"none"
"Maryland",5,"1",430954,"none"
"Massachusetts",5,"0",522000,"none"
"Michigan",5,"0",829722,"none"
"Minnesota",5,"0",349952,"all_but_snap"
"Mississippi",5,"0",345827,"none"
"Missouri",5,"0",454690,"all_but_snap"
