"state","t","pebt","est_beneficiaries","application"
"New Mexico",12,"1",245000,"none"
"New York",12,"0",2077711,"none"
"North Carolina",12,"0",903320,"none"
"North Dakota",12,"0",39760,"all_but_snap"
"Ohio",12,"0",850000,"none"
"Ohio",12,"1",850000,"none"
"Oklahoma",12,"0",312021,"none"
"Oregon",12,"0",351000,"none"
"Pennsylvania",12,"0",991843,"none"
"Rhode Island",12,"0",74622,"none"
"South Carolina",12,"0",467000,"none"
"South Dakota",12,"0",62000,"all_but_snap"
"Tennessee",12,"0",615610,"all_but_snap"
"Texas",12,"0",3641635,"all_but_snap"
"Utah",12,"0",75000,"all_but_snap"
"Vermont",12,"0",39000,"none"
"Virginia",12,"0",594494,"none"
"Virginia",12,"1",594494,"none"
"Washington",12,"0",560267,"all_but_snap"
"West Virginia",12,"0",204542,"none"
"Wisconsin",12,"0",438000,"all_but_snap"
"Wyoming",12,"0",36271,"all"
